id,type,time,categoryId,amount
0,0,1561910400000,8s0p77c323,5400
1,0,1561910400000,0fnhbcle6hg,1500
2,0,1563897600000,3tqndrjqgrg,3900
3,0,1564502400000,bsn20th0k2o,1900
4,0,1564588800000,8s0p77c323,5400
5,0,1564588800000,0fnhbcle6hg,1500
6,0,1564588800000,3tqndrjqgrg,5000
7,0,1566316800000,bsn20th0k2o,2000
8,0,1567267200000,8s0p77c323,5400
9,0,1567267200000,0fnhbcle6hg,1500
10,0,1569772800000,1bcddudhmh,3000
11,0,1569772800000,bsn20th0k2o,1500
12,0,1569772800000,3tqndrjqgrg,5000
13,0,1569859200000,0fnhbcle6hg,1500
14,0,1572364800000,odrjk823mj8,3000
15,0,1572451200000,3tqndrjqgrg,4600
16,0,1572451200000,3tqndrjqgrg,3800
17,0,1572537600000,0fnhbcle6hg,1500
18,0,1574179200000,odrjk823mj8,2000
19,0,1574870400000,1bcddudhmh,3000
20,0,1574956800000,8s0p77c323,5400
21,0,1575043200000,3tqndrjqgrg,5000
22,0,1575129600000,0fnhbcle6hg,1500
23,0,1577289600000,3tqndrjqgrg,4000
24,0,1577345333184,odrjk823mj8,2000
25,0,1577345367638,1bcddudhmh,3000
26,0,1577345378418,j1h1nohhmmo,800
27,0,1577345504140,bsn20th0k2o,1000
28,0,1577345517217,hc5g66kviq,2000
29,0,1577345576917,8s0p77c323,5400
30,0,1577345590283,1bcddudhmh,3000
31,0,1577345789527,3tqndrjqgrg,3900
32,0,1577548800000,8s0p77c323,5400
33,1,1561910400000,s73ijpispio,30000
34,1,1564502400000,5il79e11628,1000
35,1,1567094400000,1vjj47vpd28,-3000
36,1,1567180800000,s73ijpispio,28000
37,1,1569772800000,s73ijpispio,28000
38,1,1569772800000,1vjj47vpd28,2000
39,1,1572451200000,s73ijpispio,20000
40,1,1577345267529,s73ijpispio,30000
41,1,1577345303191,1vjj47vpd28,-10000
42,1,1577345317187,5il79e11628,1000
43,1,1577345463930,s73ijpispio,3000
44,1,1577345477581,5il79e11628,2000
45,1,1577345638784,1vjj47vpd28,2000
